,0,1,2
33,3,Oh's what a cereal! (^_^) ...Oh's what a price (O_o),"Man I love Oh's cereal. It is really great to the last bite, but the size of the box its so small compared to all the other cereals out there. The price is crazy for such a small box...but oh's is one of the best cereals I have ever ever eaten. It keeps me coming back despite the small box, and crazy price. If you never had it you should try it just once. It is wonderful I give it 3 stars only because of the price and how much food you get. If the portions were more fair even for this price it would be five star gold..."
34,5,Divinely Wonderful,In a world where media is dominant this movie is so refreshing as it chronicles the agony of a person who yearns for God. Watch it! 0:)
35,2,Never gets going,"This book never really seems to get going. There is too much time spent in the courtroom while basic questions about the crime and the suspect/defendant are left unasked.After 200 pages, I realized that this book wasn't going to pick up or reveal any crucial information to make sense out of things until the very end.As a result, the whole story rapped up very quickly in an unbelievable way and you are left wondering why no one could figure anything out earlier. Based on the ending, the detectives and attorneys appear rather incompetent.I did enjoy parts of the book, however, and I think the plot needs to be unfolded at a different rate (not so slow in the beginning and not so fast at the end). I am a McBain fan and think that some of his other books are better written."
36,4,Good Stuff,"This book is quite touching. It tells Dorie's story of all the unbelievably horribe things she experience while growing up being abused both physially and sexually. It gives hope to those who believe that no one's situation is as bad as their's or those who think recovery is not possible. If you are looking for self help to enhance you own healing journey this book is probably not what you need if you dont fall into the above categories. However, it is a great testimony to be aware of."
37,2,Yet another unsubstantiated case....,"While I believe in discrimination, I certainly can't believe what is in this book. It is an unsubstantiated smear campaign to rally the troups in higher ed to claw again for the preservation of academic freedom- a rally which falls flat."
38,2,Unmasked..................,"Sadly, there is absolutely nothing original in this movie. The filmmakers shamelessly borrowed from practically everyone, turning out a stale formula piece that is purely by the numbers. I couldn't find a thing that elevated this movie above a 100 other like films. The plot is standard: a group of kids spend the weekend at an old house with a bad history. A standard, run of the mill maniac kills them in unimaginative ways and of course no one notices until it's too late. Everything happens exactly on cue, in order, with no surprises, and no frights. This movie is safe and boring, it really couldn't have been any better if it tried. Not even the brief appearance of horror icon Michael Berryman (playing a nice guy for a change) can help the dullness of the script.Even the title is a misnomer! Although the original title, Maskerade, isn't any better.And I had such high hopes as this is one of my favorite genres."
39,4,A museum exhibit inside a book,"This book was in my library's Genealogy section, and you're not allowed to take Genealogy books out of the library. But I liked it enough to sit in the library and read it, in two sittings.This a quick read, because it has loads of pictures: photos of the ghetto and its inhabitants, and also pictures of artifacts such as ration cards, work certificates, yellow stars, etc. It's more like a museum exhibit than a simple book. Because of the format I think young people would be able to get something out of the book too, although it is clearly written for adults. Certainly it probably has the most information on the Kovno/Kaunas ghetto all in one place.Both researchers and the ordinary person interested in the Holocaust would enjoy this.Bonus: pages from the diary of Ilya Gerber are printed in this book; you can read extracts from the diary in Alexandra Zapruder'sSalvaged Pages: Young Writers' Diaries of the Holocaust."
40,4,Good introduction to Traditional Chinese Medicine,"As a physician who is studying and doing acupuncture, I find this a good basic introduction to Traditional Chinese Medicine. It is heavily illustrated, which helps the reader to understand some very difficult concepts, which are alien to the Western mind, especially for medical personnel. I can highly recommend it for someone who is interested in becoming familiar with Acupuncture and other Traditional Chinese Medicine."
41,5,Love it,"I bought this pillow for my mother, fiancee and myself. My mother loves it and sleeps much more comfortably with it. My fiance will not sleep with out it; according to him it gives him the best sleep he's ever gotten. I hurt my back a while back at work and this pillow has helped my back pains go away while giving me a restful night. I would definitely recommend this pillow."
42,2,Review of Artec Textureline Smoothing Serum,"I ordered this particular product as a trial substitute for the ""Controlgel"" by Textureline, which has always been my first choice. It appears that the ""Controlgel"" is out of production. This ""Smoothing Serum"" is a poor substitute. My barber agrees. He got me on the ""Controlgel"" years ago and I used to buy extra for him, but now, no more!! Too bad . . . we consumers lose again. I wish the ""Controlgel"" product would come back. My barber and I won't buy any more of the ""Smoothing Serum."" What a WASTE!!"
43,4,The best Racket ever made,I've been using this model racket for around 15 years and it's still one of the best rackets ever made by Prince. The Prince Graphite Mid Plus is still one of the stiffest rackets you can get and it also has excellence weight and balance.This racket is more suited to the higher standard player. It provides exceptional control especially with volleys. I have these rackets strung at between 62-64 pounds for hard court and grass court play.It will be a sad day when there are no more of these rackets available.
44,2,Bad skating technique,"I didn't buy this game, becuase I can tell by the pictures that Barbie has very bad skating technique (see below). This game is not for kids who want to have fun while seeing a good skating program.Pictures on Amazon1) Box picture -- I can't tell whether or not Barbie is stroking or doing a bad spiral? Either her leg is too high if she is stroking, or her body and leg are not in the right position if she is doing a spiral.2) Layback -- Although it's hard to see, it looks like Barbie might be spinning on her toe pick.3) Split jump -- Barbie does not have enough skating muscle for the jump. She is also not kicking her boots up.Pictures on vugames (makers of the game)1) Stroking -- Barbie's body is crooked. She doesn't have her weight over her stroking leg, and her body is leaning to the side. I've never seen anyone stroke like this."
45,3,Not for 8 year olds and up,This game interesting. It has good graphics and nice music. But if youre my age lets re-think the fun part. All you do is press up and down on the keybord and maybe you would hit the space bar. Well if your child likes challenging games well don't get this for them. THIS IS FOR A PRESCHOOLER!!!!
46,1,Waste of money!,"Like many of the Barbie CD Roms, the playtime is limited - averaging about 5 mins for each of my two daughters (ages 5 & 7). Like the Barbie movies and other CD Roms the graphics are poorly done."
47,4,A good game to buy.,"I bought this game for my daughter who is almost seven. She enjoys it very much. It works perfectly with Windows XP. I like the fact that it has skill levels, which helps avoid the ""frustration factor"", which I'm sure most of you reading this have experienced. The only reason that I did not give it a ""5"" is because it is quick to complete, especially on the ""easy"" and ""medium"" levels. Unless your child is totally into figure skating or Barbie, I feel this game is not for the 8+ crowd."
48,1,Three Days of Use and It Broke,"Very disappointed in this product. It worked perfectly for exactly three days and could not be resuscitated. It was very inexpensive so I did not want to pay half again the price to ship it back for an exchange, so the company would do nothing when they sent me an inquiry as to product satisfaction."
49,3,"It works, but it isn't great","These work fine and we now have two in the apartment, but i often have to take the remote off the wall and bring it closer to the switch to get the lights to turn off. It's not the greatest product and to be honest the as seen on TV handy switch works much better and is much cheaper."
50,5,One of my Favorites,"I was sceptical about this book at first, I had never read L. J. Smith before, but my friend told me to read it and let me borrow her's. It was soo good. That was about a year ago. I have now read up to Black Dawn in the Night World series, and can't wait for more. I recomended these books to my other friends and they loved them too. I recomend ANY L. J. Smith books to anyone."
51,5,You gotta read this book!,"I loved reading this book, it was so awesome. All of Lisa Jane Smith's books are. I was first drawn to this book because it involved three awesome sisters and they were all vampires. Plus I loved their older brother Ash! You have to read this book."
52,5,Great single,"I agree w/ the other fans: Chocolate is a fantastic single. If you like the song, you'll love the remixes! They give nice alternatives to an already gr8 song, and you'll get a bonus, non-album track. Highly recommended, and have a gr8 day, reader."
53,3,"It's just OK, not great",I bought the DVD thinking it would be back to back episodes of Thomas with no interruptions. Instead it has footage of a Thomas event and children and adults giving reviews of Thomas and their favorite episodes. I found it cheesy and annoying. My son loves Thomas and I hoped it would be strictly the episodes and not other footage. Thankfully the footage between the episodes is brief enough to tolerate the video.
54,5,Great Lessons!,Our two-year old grandson loved this - and we enjoyed watching it with him. Some good lessons to be learned by any age!
55,4,Nice mix of Thomas episodes and real footage.,My son really liked this as it shows some scenes from Thomas' Day Out which he could relate to having been before.The footage is mixed in with Thomas episodes and interviews. The brief interview sections did'nt really hold his attention but the rest is really good.
56,5,It is a surge protector,"What can I say it is a surge protector and small enough to use with small electronic items such as a wireless phone system, isolated devices and so on that do not need a big strip."
57,2,Too Small,"I have bought dockers for years but these are cut smaller than they usually are. Even with the ""stretch"" waist band they are tight. So much for an ""extra"" inch. Beware. Try these in a store before you buy."
58,2,Cut smaller than usual,"I agree, these are cut small... Buy an inch or two larger than you normally do. The waist band does NOT stretch."
59,3,Dockers Pants from Bealls,"I ordered the individual fit Dockers pants. Although there was a tag on the pants that said they were individual fit, thy lacked the inside label I am used to seeing stating they were individual fit. The fit seems a little different from other individual fit pants I have purchased. I think next time I will go back to a local retailer."
60,5,Fun Novel for Foodies,This novel is just fun...not super serious literature but enjoyable.I would recommend this to anyone who loves Italy and food...You can read it in a day....
61,4,The title says it all...,"This is a very fun book and if you love Rome, Romans, Romance and Food and Wine, you'll be ecstatic over this read! Enjoy and Bueno Appetito..."
62,2,Not very good....,"I bought this book to read as I myself ventured the streets of Italy...and to my dismay, the book was horrible. I searched everywhere for the book here in the states, and it was sold out everywhere...and to be honest, I am not sure why! All of the characters were not very well depicted, except for Laura. The description of Rome and the other cities the book took place in where not vivid. And the plot very predictible. The addition of the mafia in the story could have also been completely taken out...there was no need for it in the book! I just can't seem to think of anything really good to say about this book...maybe the recepies at the end are good to cook?"
63,2,"Light reading, light in substance","A clichéd storyline based on the classic Cyrano de Bergerac, this book reads like a rookie novel written by someone who has a knowledge and passion for Italian culture and cuisine, but little experience in developing a story. I can understand Bruno and his passion for cooking, but have no clue as to his passion for Laura. It seems to be primarily based on her being a blonde American. How exotic. Her character is so underdeveloped- we know she's studying art history, and she enjoys Bruno's cooking with a passion. That's about it. And Tomasso, he's just the cliché for any over-sexed Mediterranean male who encounters foreign females.It's a light and entertaining read if you can get beyond all of the reasons you should put it down and walk away. That being said, I will, however, check out this author's more recent novels. He does seem to have a way with technical details, hopefully his storytelling has caught up."
64,2,The food is sexier than the sex,"This book as all about the joy of eating and cooking and love.It's a lot better when it deals with food than with love. In fact, food is not only a metaphor for love and love-making but seems a more than adequate substitute. People have virtual orgasms cooking and eating but the sex is pallid and occasionally positively unappetizing.I can see why this book has been successful but to appreciate it one has to overlook the thin characters and absurd plot, openly cribbed from Cyrano de Bergerac. The most enjoyable parts are the opening chapters. After that, the returns swiftly diminish.Still, for a plane ride, one could do worse I suppose."
65,5,"I feel ya ""Ghenry187@aol""...this CD rocks. No Limit can't...","I feel ya ""Ghenry187@aol.com""...this CD rocks. No Limit can't touch Cash $ Money Records. I don't know why that new Tru CD sold one million in the first place. Who cares, 'cause I just checked the billboard charts and discovered that Juvenile sold more that two million. So they can't be faded. Anyway, back to this CD. Every song on this CD rocks. My favorite song is ""Help"" by B.G. I love this CD."
66,3,3 stars for production,"it really pains me to see bone thugs loose to the hot boyz for group of the year at the source awards.everybody was pi$$ed over that robbery.i have a lot of respect for southern rap music.but bone had a far superior album then this album.after that i lost all hope in the source awards.this album have a somewhat solid production value from mannie,but honestly the lyrics are kinda boring.and honestly is no where near as raw as older no-limit albums,and definatley far away from tripple 6 mafia albums."
67,3,I've heard better.,"Although better than there latest album I didn't care much for Guerilla Warfare. I found alot of the songs on the album to all sound almost exactly the same. It did have some outstanding hot tracks like I need a Hot Girl, Respect my Mind, and Tuesdays and Thursdays but most of the CD was just a bunch of decent tracks nothing that big. If you want to listen to good album by Cash Money get the Big Tymer$ Hood Rich album. That one is much better."
68,3,Disappointing,Before i say anything about this album Cash Money Records is the Sh*t. I just didn't think this album was very good. The beats and hooks were not what i was expecting. I need a Hot Girl was the best song.
69,4,HTML The Complete Reference,"This is a book that I read at home, in chunks of 30-45 minutes a night. I highly recommend this book, as both an introduction to HTML, and as a reference for beginner-to-intermediate programmers. It covers HTML in depth, but also mentions CGI, Cold Fusion, ASP, Javascript, and XML, and the role these technologies play in delivering a complete website. The book contains extensive information about Style Sheets, including an entire appendix devoted to the syntax and parameters for Style Sheets."
70,4,I bought this book after reading these reviews...,"and I have been quite satisfied.Although I don't think a ""Complete"" reference book on programming, especially HTML, can exist, this is as complete and updated as it gets.Being a professional and advanced programmer I might be tempted to claim this as the best book there is, but for beginners I suggest they start with a book which is more of a ""tutorial"" than a ""reference"". A smaller book that puts more emphasis on ""teaching"" the basic concepts than providing an extensive reference resource. But after that I strongly suggest they get this book.Remember, no single programming book can ever be a good reference while being a good tutorial. And we need both."
71,3,CHECK IT OUT BEFORE YOU BUY IT,"Being a great fan of ff6,I was impatient to listen to this record.At first I thought it was impressive with the orchestra.But then the more I listened to it the more I felt a bit disapointed.I think that some songs dont grasp the original feeling of the game and that some of them dont even respect the original tunes.But you mustnt get me wrong,it still stays a wonderful record,even though it is not totally faithful to the game. Anyway the best advice I can give is to LISTEN TO SOME SONGS BEFORE BUYING IT,to avoid any disapointment."
72,4,Helpful for sore throat and cough,I have been using this product for years because I have a chronic cough. I think it helps keep my throat moist and helps prevent and alleviate sore throat.
73,4,"Every time I play it, my friends want a copy. A coming star.",A great guitarist with lots of feeling for his work. Can't wait for his next record!
74,4,Amazing...,love it...very touch.it's to bad that in the dvd description doesn't mention no subtitles
75,2,More Romance Please and Less Mystery!!,"the reason i gave two stars when I usually give 5 stars for ms. feehan's books is b/c this book was tooooooo mystery/gothic genre rather than romance. I really didn't feel like the two main characters were in love, in fact the entire book was almost entirely from the heroine's point of view and I was getting sick of her whining and her point of view. unlike the ""dark"" series, you really didnt feel any passion. the book is better suited for the mystery/gothic genre and NOT romance.even the mystery was not that good! its only in the last chapter that for some unforseen reason the villain confesses all in less than three pages. throughout the entire book, you're kept in suspense of who was the bad guy, if you wanted to know who it was look at the last couple of pages....Ms. Feehan, if your reading, please focuse more on the main characters relation to each other rather then distract us with so much unamusing mystery!"
76,4,Very good romantic read,"This is a very good background book for the Dark Series by Christine Feehan. Very romantic, sometimes a little slow, but still worth reading!!"
77,5,The Scarletti Curse,"This is another of Christine Feehan brilliant books. She can make you part of that, that is written. You start reading and you can't put it down, I know I couldn't. If you enjoy books of physical,telpathic and romance you will love this. Every time I read one of her books they just get better."
78,4,Best Camcorder you can buy for under ...,"This is truly an excellent camcorder for home movies and perhaps more advanced applications. I found myself toying around with the nightvision contantly. My only qualms about it was that recording videos to your PC is really dependent on how good a computer you have. For instance, my computer, which is fairly fast would typically have very smooth recording, but every once in a while would skip a few frames, and I would then have to go back and edit it. But don't get me wrong, I truly believe that this really is the best camcorder you can buy for this kind of money, and besides the computer transfer issure, I absolutely love the camera."
79,4,Fingerprints,"Cornwell takes hold of your mind and does to let go until Scarpetta finds her solution. There is a horrible crime scene but it does produce some fingerprints. This is an easy case for Scarpetta until there is a match. It was a match to murderer that was executed before this murder. Read the book it is a good one. By Ruth Thompson author of ""The Bluegrass Dream"""
80,4,Review,"This book was a bit more difficult to follow, in my opinion. I was lost toward the end. But Patrica is an awesome writer! I'm sure the problem was me, not her writing."
81,2,Just Plain Cruel Will Do,"I must say I was required to read this book for a class. If that had not been the case, I would have put the book down half way through it. I was put off by the excessive amounts of technical language and graphic descriptions of the state of murder victims. Quite frankly, I was very disappointed by this book."
82,5,what happend to Mark?,I just wrote a review on this book and I forgot to include something. WHAT HAPPEND TO MARK. Out of the blue he's all of a sudden dead!
83,4,Scarpetta has everything you want,One of the best but all Scarpetta are terrific. Love how she continues the characters and creates wonderful story lines in each book. Scarpetta is a must read for crime mystery fans!
84,4,Spellbound!,"This was my first Patricia Cornwell novel and I must say I was blown away. I never thought I'd warm up to a modern mystery writer the way I did with Agatha Christie and Dorothy L. Sayers, but Ms. Cornwell has displaced them both in my heart.C & E was by far the most fascinating book I've ever read. I sat up until the wee hours of the morning reading this wonderful novel, devouring every word, as I couldn't go to bed until I had finished it. The only disappointment was the ending. The killer came out of the blue, and there were too many loose ends.The story and characters were first rate and I intend to read all her other books. It's been a long time since I found an author I would be willing to pay hardcover prices to read."
85,2,"Too scattered, too shallow","Although this might be a good book to introduce issues in technical writing to someone considering the field, it is not useful if you want anything more than a broad overview. The information it contains varies widely in depth and is sometimes dated; for example, there are several paragraphs discussing the features of dot-matrix printers but only one short and incomplete list of the types of bindings available for professionally printed documentation. For some unclear reason, two sections on editing are separated by 10 pages on usability testing. If you are actually involved in technical writing, there are better books."
86,4,Apatow's most mature effort...,"... and perhaps that's what made it unpalatable to many of his fans. Characters are extremely well-developed (AND portrayed), there is more heart underneath the expected ""potty humor..."" if Mr. Apatow continues to grow as a writer, I'll continue to watch his movies."
87,3,"""Funny People"" has a poignant strong beginning and then turns into something completely different in the second act","Length:: 6:20 MinsFunny People is really two movies -- One about Adam Sandler and Seth Rogen....and the other about trying to get back Leslie Mann and a whole bunch of extra drama. The story between the two guys is great, the other story takes away from the first.[...]"
88,2,"Obviously, not Adam Sandler's best","An acceptable movie, with some good moments by Adam Sandler, and some of the other new American comedy guys; but very far from his really ""funny people"" involved movies, like ""ANGER MANAGEMENT"" (with Jack Nicholson) or the hilarious ""LITTLE NICKY""."
89,1,profanity the movie!!! or profanity and the degenerates.!!!,"i cannot believe that an intelligent actor like adam sandler would degrade himself by acting in a degenerate , trailer trash movie like this,but i guess money makes some people do things that are beneath them. this movie is as funny as a sewer, all it is comprised of is endless and pointless profanity,virtually ever second word. the writer who has very little ,if not any intelligents, has substituted profanity for lack of intelligent writing.is the endless profanity suppose to make the male lead charactors appear more manly?. yes it is true that quentin tarantino movies has there fair share of profanity. however his movies use of profanity is justified as it is incorporated with intelligent writing. if you have very little or no intelligents or are a degenerate and trailer trash this movie will appeal to you."
90,1,Depressing then becomes boring,my husband and I watched this and ended up watching something else. this will be a waste of your time
91,3,Grafic Novels,Our book club tried the Rabbi's Cat to see what all the press concerning new grafic novels. I found it interesting but still prefer when reading a novel to have my own ideas of the people and surroundings. Guess that why after reading a novel I am not impressed with going to a movie with hollywood interruptations.
92,1,Uneducated Nonsense,"The physics department at my school gets the mad ramblings of this man, and I usually end up with them (seeing as how no one else will read them). In a word, I sum these writings as ""nonsense."" Most of his ideas, aside from being mostly incoherant and physically absurd, also defy the time-tested and true concepts that the average high-school physics student could debunk. Furthermore, mixed in with these insane babblings, are religious and political ramblings, which he tries to pass off as the only possible truth.My recommendation, unless you want a good laugh or evidence of the under-education of many Americans, pass on this book. Any other use of your money would be a better one."
